DATE,VXVCLS
2014-08-18,13.91
2014-08-19,13.79
2014-08-20,13.76
2014-08-21,13.53
2014-08-22,13.51
2014-08-25,13.57
2014-08-26,13.71
2014-08-27,13.92
2014-08-28,14.13
2014-08-29,14.27
2014-09-01,.
2014-09-02,14.46
2014-09-03,14.39
2014-09-04,14.54
2014-09-05,14.08
2014-09-08,14.39
2014-09-09,14.84
2014-09-10,14.63
2014-09-11,14.68
2014-09-12,15.04
2014-09-15,15.58
2014-09-16,14.85
2014-09-17,14.62
2014-09-18,14.23
2014-09-19,14.38
2014-09-22,15.26
2014-09-23,16.07
2014-09-24,15.22
2014-09-25,16.59
2014-09-26,16.02
2014-09-29,16.82
2014-09-30,17.08
2014-10-01,17.62
2014-10-02,17.24
2014-10-03,16.04
2014-10-06,16.55
2014-10-07,17.68
2014-10-08,16.28
2014-10-09,18.09
2014-10-10,19.93
2014-10-13,22.12
2014-10-14,21.37
2014-10-15,23.82
2014-10-16,22.85
2014-10-17,21.25
2014-10-20,19.67
2014-10-21,17.87
2014-10-22,19.06
2014-10-23,18.22
2014-10-24,17.92
2014-10-27,17.86
2014-10-28,16.46
2014-10-29,16.89
2014-10-30,16.74
2014-10-31,16.51
2014-11-03,16.81
2014-11-04,16.93
2014-11-05,16.57
2014-11-06,16.26
2014-11-07,15.83
2014-11-10,15.04
2014-11-11,15.36
2014-11-12,15.74
2014-11-13,15.89
2014-11-14,15.96
2014-11-17,15.93
2014-11-18,15.70
2014-11-19,15.97
2014-11-20,16.01
2014-11-21,15.79
2014-11-24,15.55
2014-11-25,15.41
2014-11-26,15.32
2014-11-27,.
2014-11-28,15.93
2014-12-01,16.74
2014-12-02,15.96
2014-12-03,15.55
2014-12-04,15.64
2014-12-05,15.55
2014-12-08,16.78
2014-12-09,16.89
2014-12-10,19.14
2014-12-11,20.72
2014-12-12,21.00
2014-12-15,21.06
2014-12-16,23.09
2014-12-17,20.43
2014-12-18,18.48
2014-12-19,18.47
2014-12-22,17.59
2014-12-23,17.94
2014-12-24,17.26
2014-12-25,.
2014-12-26,17.16
2014-12-29,17.27
2014-12-30,18.02
2014-12-31,19.74
2015-01-01,.
2015-01-02,19.46
2015-01-05,20.79
2015-01-06,21.42
2015-01-07,20.08
2015-01-08,18.66
2015-01-09,19.32
2015-01-12,20.48
2015-01-13,21.27
2015-01-14,20.93
2015-01-15,22.11
2015-01-16,21.15
2015-01-19,.
2015-01-20,20.87
2015-01-21,20.04
2015-01-22,18.60
2015-01-23,19.00
2015-01-26,18.03
2015-01-27,19.11
2015-01-28,21.44
2015-01-29,20.00
2015-01-30,21.82
2015-02-02,20.91
2015-02-03,19.49
2015-02-04,20.43
2015-02-05,19.27
2015-02-06,19.88
2015-02-09,20.67
2015-02-10,19.73
2015-02-11,19.71
2015-02-12,18.34
2015-02-13,18.13
2015-02-16,.
2015-02-17,18.38
2015-02-18,18.66
2015-02-19,18.01
2015-02-20,17.29
2015-02-23,17.54
2015-02-24,16.71
2015-02-25,16.87
2015-02-26,16.85
2015-02-27,16.89
2015-03-02,16.46
2015-03-03,16.78
2015-03-04,16.91
2015-03-05,16.64
2015-03-06,17.51
2015-03-09,17.31
2015-03-10,18.26
2015-03-11,18.53
2015-03-12,17.39
2015-03-13,17.89
2015-03-16,17.40
2015-03-17,17.48
2015-03-18,16.43
2015-03-19,16.97
2015-03-20,16.71
2015-03-23,16.53
2015-03-24,16.59
2015-03-25,17.57
2015-03-26,17.57
2015-03-27,17.39
2015-03-30,16.92
2015-03-31,17.54
2015-04-01,17.34
2015-04-02,17.22
2015-04-03,.
2015-04-06,16.82
2015-04-07,16.80
2015-04-08,16.40
2015-04-09,16.02
2015-04-10,15.46
2015-04-13,16.32
2015-04-14,15.85
2015-04-15,15.69
2015-04-16,15.33
2015-04-17,16.14
2015-04-20,15.58
2015-04-21,15.52
2015-04-22,15.46
2015-04-23,15.17
2015-04-24,15.26
2015-04-27,15.93
2015-04-28,15.31
2015-04-29,15.97
2015-04-30,16.48
2015-05-01,15.38
2015-05-04,15.43
2015-05-05,16.32
2015-05-06,16.72
2015-05-07,16.74
2015-05-08,15.56
2015-05-11,16.10
2015-05-12,16.40
2015-05-13,16.29
2015-05-14,15.91
2015-05-15,15.57
2015-05-18,15.23
2015-05-19,15.28
2015-05-20,15.15
2015-05-21,14.61
2015-05-22,14.48
2015-05-25,.
2015-05-26,15.48
2015-05-27,14.99
2015-05-28,15.01
2015-05-29,15.38
2015-06-01,15.41
2015-06-02,15.71
2015-06-03,15.36
2015-06-04,16.28
2015-06-05,15.96
2015-06-08,16.60
2015-06-09,16.25
2015-06-10,15.33
2015-06-11,15.10
2015-06-12,15.61
2015-06-15,16.62
2015-06-16,16.20
