,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
      From other areas,63838,67024,67311,67845,69312,73146,73117,71862,70612,70743,71570,73021,73615,73702,74420,75082,76809,75807,79355,81097,80804,81852
"        Passenger cars, new and used",27257,28347,27190,27881,29543,30837,32104,31541,30439,30462,32116,31910,32752,32869,33443,33660,34316,32937,33871,34754,36302,36677
"        Trucks, buses, and special purpose vehicles",6825,7570,7525,7870,7909,8627,7859,7833,8167,8032,6948,7938,8488,8472,8421,8283,8120,8718,10528,10075,9536,10970
        Engines and engine parts,6041,6328,6700,6534,6327,6639,6457,6372,5973,6162,6212,6392,6177,6188,6227,6450,6741,6461,6595,6793,6494,6471
        Other parts and accessories,23716,24779,25896,25560,25533,27043,26697,26116,26032,26087,26294,26782,26197,26173,26329,26688,27632,27691,28361,29475,28472,27734
    Consumer goods except food and automotive,136315,140915,138397,143073,148030,149736,150520,148130,146493,145583,145215,147608,148008,150130,147616,157826,163143,157833,161564,166557,167657,165328
      Nondurable goods,63862,65312,65266,65416,69587,72390,71227,70070,70183,70683,68684,69645,70049,69215,68102,72278,77575,76613,76274,80236,80736,83828
"        Apparel, footwear, and household goods",34603,34144,34254,34649,36732,35835,36677,34853,34501,33956,33538,33927,34052,34029,33998,34649,35181,35062,35624,36773,36993,36659
"        Medicinal, dental, and pharmaceutical products",21852,23602,23481,23121,25066,28783,26882,27617,27825,28964,27252,27684,28061,27089,25976,29281,33782,32969,31804,34513,34738,38332
        Toiletries and cosmetics,2533,2582,2510,2602,2626,2599,2573,2530,2691,2634,2743,2838,2809,2882,2939,3025,3111,3160,3238,3235,3178,3164
        Other nondurable goods,4874,4985,5021,5044,5163,5173,5095,5070,5166,5128,5150,5196,5128,5216,5190,5322,5500,5422,5608,5716,5828,5673
      Durable goods,72453,75603,73132,77657,78443,77346,79293,78060,76310,74900,76531,77963,77959,80914,79514,85548,85568,81220,85290,86321,86921,81501
"        Televisions, video receivers, and other video equipment",7241,7168,6950,6861,6607,6725,7424,7608,5901,5858,6214,6098,6335,6093,6629,6555,6031,5793,6444,7001,6939,6406
"        Radio and stereo equipment, including recorded media",2495,2544,2442,2335,2388,2461,2829,2633,2524,2278,2302,2391,2412,2236,2132,2212,2247,2322,2284,2290,2350,2334
"        Toys and sporting goods, including bicycles",9037,8788,8757,8920,9258,9305,9885,9443,9146,9042,9435,9150,9231,9746,9952,10093,10551,9913,10523,10577,9745,10312
        Household and kitchen appliances and other household goods,38357,41708,40007,43704,43770,42863,43384,42371,43142,41725,43065,44641,44544,47147,45434,50344,50869,46747,49255,49745,51288,47069
          Household furnishings and related products,7000,7074,7305,7482,7929,7815,8209,8219,8270,8188,8444,8794,8837,9192,9243,9500,9770,9556,10138,10738,9441,9223
          Household and kitchen appliances,6133,6231,6473,6483,6431,6782,7194,6689,6671,6601,6702,7005,6892,7092,7191,7929,7495,7424,7867,8538,7967,7337
"          Other household goods, including cell phones",25225,28402,26228,29739,29410,28266,27981,27463,28201,26937,27919,28843,28816,30863,29001,32915,33604,29767,31251,30469,33880,30509
        Jewelry and collectibles,6460,6372,6066,6531,7088,7108,6975,7398,6543,6986,6597,6735,6623,6853,6526,7180,6836,7099,7344,7131,7134,7229
        Gem diamonds and other gemstones,6903,7122,6969,7324,7062,6755,6657,6584,6950,7007,6883,6696,6580,6544,6463,6723,6648,6975,7026,7088,6903,5657
        Other durable goods,1961,1902,1942,1981,2270,2130,2139,2023,2104,2003,2035,2253,2234,2295,2378,2441,2386,2370,2415,2488,2562,2493
    Other general merchandise,19453,20500,20400,20335,21680,21273,21237,21600,21735,21547,21757,21838,21900,22746,22240,23872,23109,24783,26014,27331,26674,27902
  Nonmonetary gold (line 107),3805,3723,4259,3676,2989,3376,3298,2927,3388,5502,5557,3707,3347,2594,2789,3474,2806,2679,2458,2619,1911,1775
Balance on goods (line 1 less line 105),-185317,-190357,-185076,-189167,-193294,-189088,-191759,-187727,-185370,-186068,-185515,-192848,-197195,-201224,-195584,-211197,-220716,-206396,-227902,-232323,-216744,-223328
